id,genre,profit
tt0369610,Action,1254445953.243774
tt0369610,Adventure,1254445953.243774
tt0369610,Science Fiction,1254445953.243774
tt0369610,Thriller,1254445953.243774
tt1392190,Action,210161353.20900503
tt1392190,Adventure,210161353.20900503
tt1392190,Science Fiction,210161353.20900503
tt1392190,Thriller,210161353.20900503
tt2908446,Adventure,170419069.935609
tt2908446,Science Fiction,170419069.935609
tt2908446,Thriller,170419069.935609
tt2488496,Action,1718723210.761785
tt2488496,Adventure,1718723210.761785
tt2488496,Science Fiction,1718723210.761785
tt2488496,Fantasy,1718723210.761785
tt2820852,Action,1210948878.382487
tt2820852,Crime,1210948878.382487
tt2820852,Thriller,1210948878.382487
tt1663202,Western,366114301.66970694
tt1663202,Drama,366114301.66970694
tt1663202,Adventure,366114301.66970694
tt1663202,Thriller,366114301.66970694
tt1340138,Science Fiction,262755138.427739
tt1340138,Action,262755138.427739
tt1340138,Thriller,262755138.427739
tt1340138,Adventure,262755138.427739
tt3659388,Drama,448389698.02853274
tt3659388,Adventure,448389698.02853274
tt3659388,Science Fiction,448389698.02853274
tt2293640,Family,996112046.7506969
tt2293640,Animation,996112046.7506969
tt2293640,Adventure,996112046.7506969
tt2293640,Comedy,996112046.7506969
tt2096673,Comedy,624411645.538876
tt2096673,Animation,624411645.538876
tt2096673,Family,624411645.538876
tt2379713,Action,584820382.9590319
tt2379713,Adventure,584820382.9590319
tt2379713,Crime,584820382.9590319
tt1617661,Science Fiction,7348699.166572005
tt1617661,Fantasy,7348699.166572005
tt1617661,Action,7348699.166572005
tt1617661,Adventure,7348699.166572005
tt0470752,Drama,20119852.027265098
tt0470752,Science Fiction,20119852.027265098
tt2120120,Action,143186060.71813244
tt2120120,Comedy,143186060.71813244
tt2120120,Science Fiction,143186060.71813244
tt2395427,Action,1035032450.2257209
tt2395427,Adventure,1035032450.2257209
tt2395427,Science Fiction,1035032450.2257209
tt3460252,Crime,102819262.39952421
tt3460252,Drama,102819262.39952421
tt3460252,Mystery,102819262.39952421
tt3460252,Western,102819262.39952421
tt2446042,Crime,255549597.6381765
tt2446042,Action,255549597.6381765
tt2446042,Thriller,255549597.6381765
tt0478970,Science Fiction,357513832.653913
tt0478970,Action,357513832.653913
tt0478970,Adventure,357513832.653913
tt1661199,Romance,411563063.67225105
tt1661199,Fantasy,411563063.67225105
tt1661199,Family,411563063.67225105
tt1661199,Drama,411563063.67225105
tt1951266,War,451281354.276204
tt1951266,Adventure,451281354.276204
tt1951266,Science Fiction,451281354.276204
tt1964418,Action,17512806.85436499
tt1964418,Family,17512806.85436499
tt1964418,Science Fiction,17512806.85436499
tt1964418,Adventure,17512806.85436499
tt1964418,Mystery,17512806.85436499
tt1798684,Action,56773015.859873
tt1798684,Drama,56773015.859873
tt2126355,Action,331651419.513376
tt2126355,Drama,331651419.513376
tt2126355,Thriller,331651419.513376
tt2322441,Drama,487279135.2371799
tt2322441,Romance,487279135.2371799
tt1596363,Comedy,96918742.8757531
tt1596363,Drama,96918742.8757531
tt2381249,Action,489743512.39285505
tt2637276,Comedy,136034457.6648379
tt2802144,Crime,296977834.44975257
tt2802144,Comedy,296977834.44975257
tt2802144,Action,296977834.44975257
tt2802144,Adventure,296977834.44975257
tt1895587,Drama,62878727.49335991
tt1895587,Thriller,62878727.49335991
tt1895587,History,62878727.49335991
tt4046784,Action,230236270.61604017
tt4046784,Science Fiction,230236270.61604017
tt4046784,Thriller,230236270.61604017
tt3168230,Mystery,27006774.877019
tt3168230,Drama,27006774.877019
tt1823672,Crime,48823705.0775698
tt1823672,Action,48823705.0775698
tt1823672,Science Fiction,48823705.0775698
tt2848292,Comedy,237825593.83673793
tt2848292,Music,237825593.83673793
tt3682448,Thriller,112801585.5273019
tt3682448,Drama,112801585.5273019
tt1051904,Adventure,84797112.4892697
tt1051904,Horror,84797112.4892697
tt1051904,Comedy,84797112.4892697
tt3170832,Drama,27049605.458173543
tt3170832,Thriller,27049605.458173543
tt1291570,Crime,20566197.1908732
tt1291570,Drama,20566197.1908732
tt1291570,Mystery,20566197.1908732
tt1979388,Adventure,144371991.71632296
tt1979388,Animation,144371991.71632296
tt1979388,Comedy,144371991.71632296
tt1979388,Family,144371991.71632296
tt1979388,Fantasy,144371991.71632296
tt2199571,Action,19836703.7518503
tt2199571,Crime,19836703.7518503
tt2199571,Drama,19836703.7518503
tt2199571,Mystery,19836703.7518503
tt2199571,Thriller,19836703.7518503
tt2381111,Drama,46990029.0443872
